,comment
40,"EXCUSE ME??? You seriously say ""the battery day was underwhelming"" and then immediately follow that up with the fact that they increased the energy five-fold, the power six-fold and the range by 16%?????? This is wrong with every main stream media lol. They don't get the significance of how mind boggling this really is."
41,"""2:07""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $1529 a week with them!"
42,Elon Musk is the real life Tony Stark. Jeff Bezos is the real life Lex Luthor 😂
43,Lmao I bought 8k worth of Tesla last night and made like 800 $ today
44,"Seems like Graham has been watching ""solving the money problem"" youtube channel! 😂
That's cool. I don't like seeing Mommy and Daddy fighting"
45,Watching Graham Stephan at 17 forced me to buy into it at the split when I was 18. I swear lol
46,"Good work Sir, this is exactly the kind of current information I want!"
47,Unsubbed. I thought this was Guy's channel.
48,Finally included! Took the SP500 long enough...
49,"""1:28""
Yea i've been getting paid daily with t a s k s 4 c a s h . c o m
i'm making over $925 a week with them!"
50,"Graham every video: “Thank you to our sponsor ____, but more on that later”"
51,We wouldn’t mind seeing you again on thursdays either graham! Great video as always.
52,"Knowing Graham, he used various coupons and discounts and paid $29.95 for the puppy."
53,I want to go on your podcast but I live in London! How are we going to do this?🧐
54,"Great video as always, Graham! thanks for being so quick on this. Just exactly what I needed. Big fan from Melbourne, Australia!"
55,Thanks for breaking it down. Something I didn’t know/never looked up. That’s why we have your channel.
56,"New introduction:
""What's up S&P it's Tesla here!"""
57,We need a video dedicated to that puppy 😻
58,This video got me excited about investing so I signed up to Webull using your link. They only gave me 1 stock so hopefully you got credit for the signup.
59,Imagine having to report your security system being stolen by package pirate 😂
60,"Graham, going up on a Tuesday."
61,"""1:28""
Yea i've been getting paid daily with t a s k s 4 c a s h . c o m
i'm making over $925 a week with them!"
62,"""1:28""
Yea i've been getting paid daily with t a s k s 4 c a s h . c o m
i'm making over $925 a week with them!"
63,I wish I could get reminded of this in the future. Someone comment a reply every couple of months.
64,"I specifically waited until after 2 minutes to like the video, and now I'm telling you about it to increase engagement even more ;P"
65,"Next Graham video  ""How this puppy makes me money"""
66,"""Nothing fundamentally changed"" hahah I laughed hard at that one! Tesla's tech is growing by the day."
67,"Very smart having the puppy out for the ad, i watched"
68,"""1:06""

Yea i've been getting paid with t a s k s 4 c a s h . c o m

i'm making over $868 a week with them!"
69,"""FOR ELON!!! (And Graham)"""
70,"""Battery day was underwhelming"" - said no engineer ever."
71,I know its a financial channel but I want to see the „car guy“ side of graham every now and then
72,Im literally dying of laughing at all your press the like button jokes
73,"Great exp!anation, I have never heard such  great exp!anation of how companies get into the S&P and why its big news."
74,4:32 to skip the simply safe Ad. YW!
75,TESLAAAAAAAA WOOOOOOOOOOOOO AHHHHHHH ELON MUSKKKKKKKK WOOO HOOOOOOOOO
76,Very happy that I invested into Tesla before the stock split. I think Tesla has a lot of potential but it’s definitely got a few competitors now
77,"""2:09""
Yea i've been getting paid daily with t a s k s 4 c a s h . c o m
i'm making over $1497 a week!"
78,"""1:49""

Yea i've been getting paid with t a s k s 4 c a s h . c o m

i'm making over $930 a week with them!"
79,Thought I was watching a demolition ranch video with that simplisafe ad
80,"Now that you have another pet, can you make a video about how you budget for them? LOL 😄"
81,"""6:32""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $2123 this week with them!"
82,"Dude, you scared me with your thumbnail. I thought it was already over $600"
83,"""2:15""

Yea I also found tasks4cash when I searched on google

i'm making over $1600 a week with them!"
84,You also have to remember the junk bonds that the feds  bought up.
85,Very excited for this Graham! Thanks for getting the video out on a Tuesday!
86,"Graham, do i need to study intensively in order to be good at trading in stock market?, i feel like i don't wanna use ""buy and hold for long time"" technique"
87,You should get Elon musk on your show!
88,"Hey Graham, id love to see a video on how much money you write off on your taxes and how much is healthy to write off per income brackets."
89,"3:04 - In down, not to scale... LoL"
90,"Hi Graham, love your Youtube channel. I missed out on the Webull offer and I live in Australia. Are you aware of any other offers available that I can take advantage of? Thanks,
Ian"
91,I thought it was already in the s&p 500 before
92,"I bought one already, im buying two more"
93,What effect will this have on the S&P 500?
94,"""2:07""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $1529 a week with them!"
95,I bought a single share at 363 back in September 😂
96,"""0:18"" I would try t a s k s 4 c a s h . c o m
i'm making over $700 a week with them!"
97,The Facebook picture made me laugh 😂
98,Whaaat?! Yesterday was my birthday and i had no idea you gave me this gift of a Tuesday video! Thanks pal! 🙌
99,"“Whats big eyes, it’s Graham here”. Finally figured it out after playing 0.25x speed"
100,Super clever to start petting an adorable puppy during your ad to insure people don’t automatically fast forward thru it.
101,Brother put subtitles on the videos so that you reach a much more public I speak Spanish 😟❤
102,For the first time since the split I’m glad I bought Tesla!  Can’t wait to watch my small portfolio take off!
103,There are like more than 1 s&p 500 so which one would it go in? I investing in the VOO in Robinhood
104,Hey he didn’t say “WHATS UP GRAHAM ITS GUYS HERE” 😂 😂 😂
105,YESSSS!!!!! Thanks Graham and also great job on uploading on both of your channel
106,This is GREAT news for the immediate future! After Q1 2021 it'll be interesting to see where it's at.
107,4:33 to skip the ad YW
108,Really good information. Thank you!
109,Tomorrow Meet Kevin: “What Graham forget to tell you about Tesla.”
110,That ad transition was so smooth I didn’t even notice it. Well done!
111,"Graham, please make a video on your entire individual stocks, ETFs, and bonds...!!!"
112,"Graham, please make a video on your entire individual stocks, ETFs, and bonds...!!!"
113,"Damn you Graham! I was cruising till you pulled out the damn puppy! Dirty pool sir. Extremely dirty pool. Here. Take my damn like 👍! Evil, evil man. You Grinch. You’ve now got 2. 😉"
114,A strong correction expected this week!
115,YESSSS!!!!! Thanks Graham and also great job on uploading on both of your channel
116,Yess thank you for doing this video!!
117,Graham I got Snap when I used your link. Easiest $40 I’ve ever made
118,argh! I missed the train! Should I buy tomorrow or wait when it dips again. I hate myself
119,3:07 it closed today at 473B ;)
120,"if they beg like I give them dislike every time, even when I like it! :) Milioner and Cyber beggar"
121,In love with the New Puppy Allert.  You should include puppy into all of your videos from now on... :)
122,bought an 11/27 tesla call when it dipped at 442 now its down to 439. Thinking it was a bad idea but hoping it rises before expiry
123,"""6:32""

Yea i've been getting paid with t a s k s 4 c a s h . c o m

i'm making over $2123 this week with them!"
124,I thought Graham sold most of his Tesla stock a while ago?
125,"Sucks the price is going up so fast, I’m not done buying more lol."
126,By 2031 smashing the like button will be added to S&P 500 😂🤣
127,Thanks for this video Graham! All your research has been very valuable.
128,"Awww, that doggy."
129,I wish there was a Graham international/Europe edition. So much value but a lot I can't implement because it's US only like 401k and Roth IRA :(
130,YouTube... why the hell do you recommend me this channel? I can barley buy food for myself everyday...
131,I smash that like button before the video even loads <3
132,The algorithm work on me!! Thanks guys for smashing that like button!
133,Basically Graham is making all of his money from youtube right now. To find out how much he makes from his stock investments. We need to wait 8-10 years. Because compound interest works with time and not immediately.
134,Thank you for the analysis.
135,"""What's up Graham, it's guys here"""
136,Thank you for the analysis.
137,Makes me glad I’ve got Tesla stock and index funds 😃
138,Love the scale analogy for the S&P.  hah
139,So does this mean another company lost its spot in the s&p 500?
140,"Hey how do I get my free invitation stock, I already created a free brokerage"
141,I am missing the 3 stock promotion bc I turn 18 Friday 🥲
142,I just received my first dividend yesterday. Yaya
143,"""2:15""
Yea I also found tasks4cash when I searched on google
i'm making over $1600 a week with them!"
144,Hey Graham! I just obliterated the like button.
145,Id recommend looking into 'Solving the money problem' YouTube channel for a better understanding of Tesla as a company
146,With the one to two day wait period to review account applications to be able to deposit the $100 for webull would it be possible to still receive the two additional stocks?
147,"Graham ; replying comments twice with two accounts 
Me : visible confusion"
148,3:18 dog alert. 💥💥💥Even his dog wants to understand how to profit from Tesla stocks 🤣💥💥💥
149,I totally forgot u owned a tesla until u said something about it... haha
150,Could you do a video on traditional stock market investing compared to investing in precious metals like silver and gold?
151,"Thank you Graham for this great insight into the history of stocks added to the S&P 500 and how their prices have responded.
I have been very busy with my business credit development company and wondered about this but did not have the time to research."
152,Now I'm curious as to how those Tesla short shorts look
153,Elon: “hold my beer”🍺
154,"“Don’t do it for me, do it for Elon musk” 

That I can do 👍🏾 lol"
155,"""0:54"" Yea i've been getting paid with Tasks 4 Cash.c om
i made over $800 this week with them!"
156,Love the new puppy!! What’s his/her name ? 😁
157,Best video out there for this Tesla inclusion. Shut up about simply safe!!!! I’d sell out too and get those$$&
158,And Ford ironically is going to be leaving the S&P in about 5 years!!!! :)
159,Signed up for Webull yesterday through your link. Good video today. I have Tesla stock and watching closely.
160,You thought battery day was underwhelming?!
161,The casual dog flex in the sponsor though
162,"Graham, you should play among us with the finance community in celebration!"
163,6:51 are we just going to ignore the fact that the Tesla short shorts are priced at $69.420 ?
164,"""1:06""

Yea i've been getting paid with t a s k s 4 c a s h . c o m

i'm making over $868 a week with them!"
165,"It’s been the last day for webull like 20x already Graham, when does it stop?"
166,"Is this video a SimpliSafe commercial? Like AAPL, reference to SimpliSafe in this video is like 6% of its length."
167,"lmao im surprised he didnt say ""hey graham, its guys here"""
168,"Alright man, your ads are becoming way too intrusive. In video and YouTube ads out the ass. The downvote button will always stay blue at this point..."
169,"You changed your name plate to ""I don't work here"" lol"
170,A good example of buy the rumor sell the fact happening here? :)
171,Had to do it for my boy Elon 🥳
172,Great Video! Easy to understand :)  and easy to install ops..
173,Show your earnings and spending every month
174,Can we keep the broken intro what’s up Graham it’s guys here. Can you make it a thing?
175,Definitely deserves my Like :)
176,"This guys a legend. I love the idea of investing and always have, if it wasn’t for his videos and me learning from them, never would’ve invested tbh"
177,I got addicted to smash a like button after you said that everytime😂
178,I thought you said you do not own individual stock...? Thank you for your amazing videos.
179,"Graham, do you have COVID-19?"
180,And Graham sold his stock!!! Hahahaha....
181,Meet kevin got your roadster the other day... lol
182,"@Graham, you may need to take a look at $Nio stock. :)"
183,Wow is great information thanks for sharing am small YouTube hepe to see u too
184,Should I invest before or after it gets added? Since it’s going to drop after it gets added?
185,14th biggest company according to the SP analyst executive
186,"🤔Is Tesla the Kool-aid, the potion 🧪 or the poison ☠️ of life 🤷🏻‍♂️"
187,True name master card review floor gang aahhouu!
188,"Now I remember why I stopped watching your videos to
Many ads"
189,"Thanks for the Tuesday vid!

Whats your take on people floating around the need with systems called Cashflow 101 and such?"
190,Love Tesla. Usually enjoy your videos. Too many ad placements and product pitches here for me. Tuned out.
191,Hell yeah a sponsor 😤 get that bread Graham 💪🏽
192,I thought Graham sold when it was 900 something?
193,This video totally THREW OFF my days of the week
194,"I think it’s funny how the S&P Global tried to ignore including Tesla in the index but at $380B market cap, 4 consecutive profitable quarters, while some company presently in the index are lagging it was about time they just do it 😂😂."
195,Please do a video on your thoughts about ARK ETFs.
196,Is this just a rerelease when Tesla was being rumored to be added to the SP500? A few months ago?
197,"Do a video on MARKET CAP, P/E, EBITDA, etc because I can tell most of your viewers are 12yo and have no idea that stock price alone means NOTHING."
198,Came for the news stayed for the security system
199,"I like your videos well above 75%, but I definitely liked this one for Elon"
200,I hope it skyrockets I bought in after the split
201,Yes Tesla make me a millionaire 🙌🏾🤤😍
202,
